,buyEnd,buyStart,date,sellEnd,sellStart
95,20.9160,20.8980,2018-11-15,21.1160,21.0980
96,20.8880,20.7770,2018-11-14,21.0880,20.9770
97,20.7460,20.6770,2018-11-13,20.9460,20.8770
98,20.6270,20.6610,2018-11-12,20.8270,20.8610
99,20.6730,20.6600,2018-11-09,20.8730,20.8600
100,20.7410,20.7110,2018-11-08,20.9410,20.9110
101,20.6730,20.6410,2018-11-07,20.8730,20.8410
102,20.4230,20.3750,2018-11-06,20.6230,20.5750
103,20.3590,20.3440,2018-11-05,20.5590,20.5440
104,20.3890,20.4090,2018-11-02,20.5890,20.6090
105,20.3070,20.1300,2018-11-01,20.5070,20.3300
106,20.1620,20.1950,2018-10-31,20.3620,20.3950
107,20.1710,20.1320,2018-10-30,20.3710,20.3320
108,20.1860,20.1060,2018-10-29,20.3860,20.3060
109,19.9710,20.0810,2018-10-26,20.1710,20.2810
110,20.0790,20.1100,2018-10-25,20.2790,20.3100
111,20.1570,20.1780,2018-10-24,20.3570,20.3780
112,20.2320,20.1690,2018-10-23,20.4320,20.3690
113,20.2700,20.2930,2018-10-22,20.4700,20.4930
114,20.2400,20.1740,2018-10-19,20.4400,20.3740
115,20.2130,20.1020,2018-10-18,20.4130,20.3020
116,20.2570,20.2360,2018-10-17,20.4570,20.4360
117,20.2190,20.2140,2018-10-16,20.4190,20.4140
118,20.0690,20.0030,2018-10-15,20.2690,20.2030
119,20.0310,20.1640,2018-10-12,20.2310,20.3640
120,20.0590,19.9720,2018-10-11,20.2590,20.1720
121,19.8450,19.8480,2018-10-09,20.0450,20.0480
122,19.7970,19.7220,2018-10-08,19.9970,19.9220
123,19.8170,19.8550,2018-10-05,20.0170,20.0550
124,19.8990,19.8670,2018-10-04,20.0990,20.0670
125,20.0410,20.0670,2018-10-03,20.2410,20.2670
126,20.1080,20.0930,2018-10-02,20.3080,20.2930
127,20.0930,20.1060,2018-10-01,20.2930,20.3060
128,20.0820,20.1430,2018-09-28,20.2820,20.3430
129,20.2120,20.3350,2018-09-27,20.4120,20.5350
130,20.3300,20.3340,2018-09-26,20.5300,20.5340
131,20.2550,20.2890,2018-09-25,20.4550,20.4890
132,20.4590,20.4580,2018-09-21,20.6590,20.6580
133,20.4160,20.3210,2018-09-20,20.6160,20.5210
134,20.2310,20.1710,2018-09-19,20.4310,20.3710
135,20.2030,20.1380,2018-09-18,20.4030,20.3380
136,20.1060,20.0670,2018-09-17,20.3060,20.2670
137,20.1730,20.1440,2018-09-14,20.3730,20.3440
138,20.0890,20.0860,2018-09-13,20.2890,20.2860
139,19.9940,19.9580,2018-09-12,20.1940,20.1580
140,20.0230,19.9990,2018-09-11,20.2230,20.1990
141,20.0280,20.0070,2018-09-10,20.2280,20.2070
142,20.1340,20.1540,2018-09-07,20.3340,20.3540
143,20.2000,20.2240,2018-09-06,20.4000,20.4240
144,20.0770,19.9920,2018-09-05,20.2770,20.1920
145,20.0690,20.1580,2018-09-04,20.2690,20.3580
146,20.2230,20.1880,2018-09-03,20.4230,20.3880
147,20.3520,20.3090,2018-08-31,20.5520,20.5090
148,20.3420,20.4320,2018-08-30,20.5420,20.6320
149,20.4780,20.5310,2018-08-29,20.6780,20.7310
150,20.4720,20.4880,2018-08-28,20.6720,20.6880
151,20.4390,20.4460,2018-08-27,20.6390,20.6460
152,20.3390,20.3480,2018-08-24,20.5390,20.5480
153,20.4420,20.4410,2018-08-23,20.6420,20.6410
154,20.4390,20.4790,2018-08-22,20.6390,20.6790
155,20.3830,20.3250,2018-08-21,20.5830,20.5250
156,20.2640,20.2550,2018-08-20,20.4640,20.4550
157,20.2420,20.1920,2018-08-17,20.4420,20.3920
158,20.2140,20.1640,2018-08-16,20.4140,20.3640
159,20.1000,20.1170,2018-08-15,20.3000,20.3170
160,20.2340,20.1800,2018-08-14,20.4340,20.3800
161,20.1560,20.1520,2018-08-13,20.3560,20.3520
162,20.1290,20.1310,2018-08-10,20.3290,20.3310
163,20.2770,20.3310,2018-08-09,20.4770,20.5310
164,20.5510,20.5030,2018-08-08,20.7510,20.7030
165,20.5520,20.5260,2018-08-07,20.7520,20.7260
166,20.5330,20.5930,2018-08-06,20.7330,20.7930
167,20.5500,20.5770,2018-08-03,20.7500,20.7770
168,20.6500,20.6900,2018-08-02,20.8500,20.8900
169,20.7030,20.7260,2018-08-01,20.9030,20.9260
170,20.7510,20.7820,2018-07-31,20.9510,20.9820
171,20.7310,20.6880,2018-07-30,20.9310,20.8880
172,20.6340,20.6240,2018-07-27,20.8340,20.8240
173,20.7750,20.7920,2018-07-26,20.9750,20.9920
174,20.7190,20.7730,2018-07-25,20.9190,20.9730
175,20.7530,20.7100,2018-07-24,20.9530,20.9100
176,20.7960,20.7820,2018-07-23,20.9960,20.9820
177,20.6660,20.5780,2018-07-20,20.8660,20.7780
178,20.5800,20.6730,2018-07-19,20.7800,20.8730
179,20.5420,20.6300,2018-07-18,20.7420,20.8300
180,20.7430,20.6190,2018-07-17,20.9430,20.8190
181,20.6070,20.6070,2018-07-16,20.8070,20.8070
182,20.4950,20.5780,2018-07-13,20.6950,20.7780
183,20.5730,20.5440,2018-07-12,20.7730,20.7440
184,20.6590,20.6610,2018-07-11,20.8590,20.8610
185,20.6700,20.6920,2018-07-10,20.8700,20.8920
186,20.6800,20.7130,2018-07-09,20.8800,20.9130
